ip,timestamp,url,protocol,status,bytes,referrer,user_agent,hour,day_of_week,minute,url_path_depth,protocol_HTTP/1.0,protocol_HTTP/1.1,status_type,status_client_error,status_server_error,status_success,method_GET,method_HEAD,method_OPTIONS,method_POST,has_referrer,is_bot,browser_chrome,browser_firefox,browser_other,browser_safari,browser_wordpress
172.70.230.7,2024-10-20 01:03:15,/ini.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-20 01:03:15,/autoload_classmap.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-20 01:03:15,/as.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-20 01:03:16,/admin/upload/css.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-20 01:03:16,/.well-known/pki-validation/afnew.php,HTTP/1.1,404,489,-,-,1,6,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:16,/lufix.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:16,/media.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-20 01:03:16,/contact.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-20 01:03:16,/byp.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:16,/upload.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-20 01:03:16,/wp-content/themes/sketch/404.php,HTTP/1.1,404,489,-,-,1,6,3,4,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:16,/test.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-20 01:03:16,/cong.php,HTTP/1.1,404,489,-,-,1,6,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
